Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	512_C								로비	
T	기다리고 계셨군요.			Default	10_디아나					
	흠흠, 설비 연동을 진행하면서 느낀 것이 있었지만…			Default	10_디아나					
	시설 곳곳에 각자의 연구자들이 남긴 정보들이 남아있었답니다.			Default	10_디아나					
	그 중에서 지금 알면 도움이 될 부분만 정확하게 정리해 두었고…			Default	10_디아나					
	그것 뿐만일까요, 현재 시설들의 전체적인 상태까지 가져왔어요.			Default	10_디아나					
	저는 유능한 AI기 때문에, 이런 부분을 확실하게 잘 파악하고 있답니다?			Default	10_디아나					
	그러니까 이제 한 번 제대로 시작해 볼까요?			Default	10_디아나					
	이 연구소, 회사라고 불러도 좋겠지만, 연구의 이름은 A - I 프로젝트라고 불렀답니다.			Default	10_디아나					
	대외적으로도 아주 평범한 이름이었죠. AI에 대한 연구는 아직도 레드오션이잖아요?			Default	10_디아나					
	이를 위해 참여한 작업자들은 총 4명이었어요.			Default	10_디아나					
	수석 연구원, 책임 연구원, 선임 연구원… 그리고 후임 연구원으로.			Default	10_디아나					
	이렇게 적은 인원으로 프로젝트가 진행이 될 수 있나 싶을 수 있지만 크게 이상하진 않죠.			Default	10_디아나					
	이미 AI가 인간을 대체해 1인 연구 팀도 늘어난 상황 속에 심지어 AI 전문가인 선임 연구원인 당신이 참여한 팀이었으니까요.			Default	10_디아나					
	대외적으로 알려진 프로젝트의 목적은 ‘엘리멘트를 이용한 AI 발전의 가능성 탐구’였습니다.			Default	10_디아나					
	완전히 대외비인 엘리멘트가 있었지만 AI 프로젝트 쪽의 비중이 높아보이게 손을 썼고,			Default	10_디아나					
	그 덕분에 도시 외곽의 산지에 연구소를 지었지만, 어느 정도 관심을 받지 않을 수 있었다네요.			Default	10_디아나					
T	나도 이 부분에 대해서는 이미 알고 있었다. 다시 한번 정리한다니까 듣고는 있었지만…									
	정말로 궁금한 건 이 시설에서 무슨 일이 벌어졌는지에 대한 이야기였다.									
T	대표이자 수석 연구원인 오리스, 본명은 어디에도 적혀있지 않지만 그 분께서 연구소를 설계했죠.			Default	10_디아나					
	그 과정에서 외부 인력들과 후임 연구원도 참여해서 그 구조를 작업하였는데…			Default	10_디아나					
	크게 세 개로 나누어 정리한다면 현재 저희들과 AI들이 위치한 본관,			Default	10_디아나					
	엘리멘트를 이용해 전 곳에 에너지를 전달하는 코어,			Default	10_디아나					
	폭발 사건이 일어나기 전까지 연구하던 연구실로 나눌 수 있겠네요.			Default	10_디아나					
T	나는 AI 작업자로서 코어나 연구실에는 거의 들어가보지 않았고, 본관의 여러 층마다 하나씩 존재할 AI를 만드는 부분에 열중했다.									
	만드는 것 만으로 끝나는 것도 아니었다. 관리되지 않는 AI가 선을 넘어버린 사례가 너무나 많았으니.									
T	하지만 보시다시피 연구실에서 일어난 것으로 추측되는 폭발로 인해 본관에서 코어로 연결되는 통로도 막혀버렸고, 연구실은 어떤 상태인지 파악할 신호나 정보가 전혀 없는 상태예요.			Default	10_디아나					
	남아있는 CCTV 분석 결과, 대표와 책임 연구원이 통로를 통해 코어 쪽으로 이동했던 것까지는 확인했지만… 			Default	10_디아나					
	폭발 이후 특수 처리가 되지 않은 전자 기기들이 전부 고장나는 바람에 알 수 있는 게 없네요.			Default	10_디아나					
	연구실 내부에 정보가 남아있을 것 같긴 하지만, 현재 상황은 단선된 상태에 물리적으로도 무리일 것 같아요.			Default	10_디아나					
	제게 남은건 본관 내 시스템 정보와 자료들, 그리고 물리적으로 연결된 시설들의 정보니까요.			Default	10_디아나					
