Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	512_C								로비	
T	아, 안녕하세요! 일을 하고 있는 중이라 조금 늦게 반응했네요.			Default	10_디아나					
	이미 많은 일을 하고 계셔서 이야기를 따로 드리지는 않았지만, 시설 내부의 상황 뿐만 아니라 과거의 정보들을 한번 정리해서 알려드리려고 해요.			Default	10_디아나					
	이미 알고 계신 부분도 많겠지만, 그래도 다시 한 번 정리해서 보는게 좋을 것 같지 않나요?			Default	10_디아나					
S	아니 | 좋아_0 | 3									
T	아니에요! 정확히 하는 게 중요할 거라니까요?			Default	10_디아나					
	무조건 도움이 될 일이라고 생각하니까, 저녁에 시간을 좀 내 주세요.			Default	10_디아나					
J	1									
T	그래요, 그러면...저녁에 시간을 좀 내주세요.			Default	10_디아나					
	지금 어떤 일이 일어났는지 어느 정도 이해는 했다 쳐도, 확실하게 하는 편이 훨씬 좋을 거에요. 			Default	10_디아나					
