Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place
Char	512_C								
T	어느 정도 둘러보신 것 같은데, 이제 마저 설명드리도록 할게요.			Default	10_디아나				
	거의 아는 내용이겠지만 여기는 로비, 다른 층으로 이동할 수 있는 1층이에요.								
	2층에서 6층까지는 각각의 원소 AI들이 자신의 층을 관리하고 있어요.								
S	원소 AI들이면 층에서 연구원들을 돕던 그 AI들인가?_0								
T	맞습니다. 엘리멘트가 각각 다른 에너지를 방출하는 성질을 이용해서 원소적인 특성에 맞는 특이한 능력을 사용할 수 있는 다섯 개의 AI들이죠.			Default	10_디아나				
	각자 명령하는 대로 정해진 일만 작업하고 복종하던 AI들이었지만, 그 사건 이후, AI들이 각자 자유 의지를 발현하더니 자신들의 층을 원하는 대로 꾸미거나 사용하기 시작했습니다.								
S	그럼 그 AI들을 관리하는 권한을 잃었다는 건가?_0								
T	정확히 말한다면 뭐… 그런 느낌이죠.			Default	10_디아나				
	어떻게 이런 일이 생겼는지도 정확히 알 수는 없지만, 현재 전체 시스템 관리는 중앙 통제 가능한 부분만 가능해요.								
	제가 다른 층에 들어가거나 간섭하는 게 불가능한 상태거든요.								
T	이상했다. 하지만 곧 어떤 이유인지도 알 것 같았다.								
	AI끼리 간섭하는 체계를 만들어 두고 가지 않았기 때문에, 그래서 권한이 없다고 하는 거겠지.								
S	그러면 내가 가서 설득하거나 이야기를 하면 되는 건가?_0								
T	우리가 지금 해야 할 일은, 이 시설의 기초적인 문제들을 해결하는 것이죠.			Default	10_디아나				
	이제 그러기 위해선 AI들이 가진 엘리멘트의 힘으로 도움을 받는게 좋겠죠?								
	물론 지금 AI들이 각각 어떤 존재가 되어 있는 지도 잘은 모르겠지만, 최소한 지금의 당신에게 큰 힘이 되어 줄 것만큼은 분명해요.								
	보시다시피, 폭발로 인해 본관에서 코어가 연결되는 통로도 막혀버렸고, 코어 끝에 연결된 길에 위치한 연구실은 어떤 상태인지 어떠한 신호도, 정보도 하나 없는 상태예요								
	그러면 이제 AI들이 위치한 다른 층으로 한 번 가 보세요.								
	음... 왜 다른 층들에 불이 안 들어오지?								
	이상하지만 일단 철 층에 먼저 가보시는 걸 추천드려요.								
	시설에 대한 정보를 저보다 많이 알고 있을 테니 도움이 될 거에요.								
	그럼 부디 힘내주시길 바라요. 최선을 다해 문제를 해결해보죠.								
