Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	512_C								로비	
T	이야기는 잘 마치셨나요?			Default	10_디아나					
S	시설 시스템에 일어난 일에 대해 어느 정도는 알고 있는 것 같은데,  왜인지 아직 대화하고 싶어하지 않는 것 같아._0									
T	시스템에 대해 어느 정도 알고 있는건 아마 시설의 권한을 가지고 있기 때문이겠죠.\n정확하진 않지만 AI-1 아이디가 아마 그 AI의 소유일 거에요.			Default	10_디아나					
T	눈 앞의 다른 일을 해결하고 대화를 하자는 건, 아마 시설의 문제를 해결하고 이야기하자는 거겠지.최소한 대화를 하려는 생각은 있는 것 같던데, 그러면 해야 할 일을 해야 한다…			Default	10_디아나					
S	그래서 다만… 해야 할 일을 먼저 해야 한다고 하던데._0									
S	설 중에 혹시 고쳐야 할 부분이 있는 걸까?_0									
T	잠깐만요, 기초 장치 중에서 고칠 부분이…잠시만요, 확인을 좀 해 볼게요.			Default	10_디아나					
T	잠시 사라진 디아나가 무얼 만지고 있는지, 불빛이 세졌다 약해졌다를 반복했다.									
	어느 정도의 시간이 지나고 나서, 그제야 디아나가 나타났다.									
T	제대로 확인해보니 저 위 쪽 중계기 설비에 전기가 제대로 공급되지 않았던 것 같네요.			Default	10_디아나					
	왜 엘리베이터 가동 범위가 제한되었나 싶었는데, 역시나 문제가 있었네요!			Default	10_디아나					
S	저 장치는 정확히 하는 일이 뭐야?_0									
T	현재 위치한 본관 전체에 전력을 보내는 허브 같은 장치라고 생각하면 될 것 같아요.			Default	10_디아나					
	지금 엘리베이터가 2층까지만 이동할 수 있던 것도 아마 저 허브에 문제가 생겨서 그랬던 것 같네요.			Default	10_디아나					
S	그러면… 어떻게 고치면 되는 거야?_0									
T	저는 이 시설에 대한 전반적인 지식을 가지고 있어서 어떻게 해야 할 지 알 수 있거든요?\n저 정도 간단한 허브를 고치는 건 일도 아니죠!			Default	10_디아나					
S	그럼 왜 그 문제를 미리 알아채지 못한 거지?_0									
T	그런 건 꼬치꼬치 캐묻지 말아주실래요?			Default	10_디아나					
	AI라고 모든 일을 완벽하게 수행할 수 있는 것만은 아니라구요.			Default	10_디아나					
T	갑작스럽게 문제들이 발생한 것도 있고, 허브 때문에 전기도 제대로 공급되지 않았으니 아마 성능 저하가 일어났을 확률이 있었다.									
	하지만 로비 AI에게서 인간적인 느낌이 이 정도로 크게 나타나다니, 문제가 있는 것은 확실했다.									
T	동쪽 통로 108호, 그 부분의 배선을 한번 확인해주세요.			Default	10_디아나					
	제가 방송으로 어떻게 해야 할지는 알려드릴 테니까, 걱정하지 않으셔도 좋습니다.			Default	10_디아나					
T	수면실이 위치한 것처럼, 정확히 어떤 일을 하는지도 모르겠지만 여러 개의 방이 있었다.									
	108호에는 여러 전기 선들이 어지럽게 엮여 있었다.									
	구석에 놓여 있던 절연 장갑을 끼고, 배선반을 만지기 시작했다.									
T	방금 뽑은 부분은 다시 꽂으세요! 그게 문제가 아니라 빨강 선을 뽑아야죠!			Default	10_디아나					
	혹시 시각에 문제가 있는 건가요? 초록 선은 그대로 두시고… 노랑 선을 교체해야 한다니까요?			Default	10_디아나					
T	내가 전기 기술자라도 되는 것처럼 짜증을 내는 건지 사람을 놀리는 건지,제대로 알려주지도 않으면서 실수할 때마다 시끄럽게 떠들어서 귀를 막고 싶은 지경이었다.									
	눈 앞에서 누전이 난 건지 노란색 불꽃이 튀기도 했지만, 어쨌든 가장 큰 문제였던 것 같은 선을 교체하자마자 이전보다 불이 확실히 밝아진 것 같은 기분이 들었다.									
			-1_TimeProccess							
T	들리시나요? 아아, 가용 가능한 전력량이 늘어나고 있어요!\n이거 방송 소리도 아까보다 더 커진 것 같은데요?			Default	10_디아나					
T	무거운 몸을 이끌고 로비 AI 앞에 가서 방송 소리가 시끄럽다고 대답해야겠다고 생각했지만, 오랜만에 하는 작업 때문인지 아니면 몸이 피곤해서였는지 말이 잘 나오지 않았다.									
T	많이 피곤해 보이시네요.\n아마 오랜만에 일어나 몸을 움직이는 거다 보니까 특히 더 피곤할 수 있겠죠.			Default	10_디아나					
	피곤하신 것 같은데, 좀 쉬시는게 좋을 것 같아요. 수면실에 아마 침대가 있을 거예요.			Default	10_디아나					
T	그 말대로 이제는 좀 쉬어야 할 때가 된 것 같았다									
	수면실의 침대들에는 언제나처럼 평범한 베게와 이불이 아주 약간의 먼지와 함께 남아있었고, 다른 연구원들의 자리는 텅 비어 있었다.									
T	수고하셨습니다, 좋은 꿈 꾸시기를 바랄게요.			Default	10_디아나					
T	최대한 줄인 듯한 스피커에서 흘러나온 목소리, 좋은 꿈을 꾸길 바란다라.									
	현실에서 이런 일이 일어날 거라곤 상상도 못하고 있었는데.									
	내 눈에 보이는 건 고요한 방과 그 곳에 남은 다른 상태의 두 인간 뿐이었다.									
	하지만, 나는 동면관을 바라보는 것 외에는 할 수 있는게 딱히 없었다.									
	그리움일까, 외로움일까. 아니면 막연한 두려움일까.									
	그런 감정들이 뒤섞이며 의식은 꿈을 꾸는 것처럼 흔들려가기 시작했다.									
