Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place
Char	512_C								로비
T	오늘 하루는 어땠나요?			Default	10_디아나				
S	할 만했지. | 쉽지 않았어..._0 | 0								
T	힘들겠지만 어쩔 수 없죠.\n상황도 그렇지만 결국 문제들은 해결되어야 하니까요.			Default	10_디아나				
	그리고… 시설 시스템을 점검하면서, 로비의 잠겨있던 방들을 확인하다가 새로운 것들을 찾았어요.								
	작동은 하지만 반쯤 고장난, 조금만 고쳐도 유용하게 쓸 수 있을 설비들이 있었어요.								
S	급하게 고쳐야 하는 것도 있는 거야? | 0								
T	아직은 없어요.			Default	10_디아나				
	당장 고치지 않으면 문제가 될 건 어제 고쳤던 중계기 뿐이니까요.								
	그렇다고 완전 관심을 주지 않아도 된다는 이야기는 아니에요.								
	예를 들면 공기나 먹을 수 있는 음식의 질이 조금 더 좋아지는건 긍정적인 일이지만,먹는 음식이 조금 바뀐다고 정말 드라마틱한 일이 일어나지는 않겠죠.								
	그래도 이루었다는 마음이나 나아진 편의에 기분은 좋아질 테고, 그 중 심지어 AI들이 좋아할만한 게 있을 수도 있잖아요?								
	저는 충분히 알 만한 정보라고 생각해요.								
S	추천할만한 설비가 있을까? | 0								
T	음… 이제 실험 때 사용할 장비를 만들던 설비가 4호 쪽에 있던 걸로 아는데, 그 설비 쪽에 가보면 좋을 거에요.			Default	10_디아나				
