Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	1_C								철의 층	
S	프로젝트의 설비들이 무얼 위해 설계되었는지 자세히 알려 줘._0									
T	전체 설비 다섯 가지를 모두 나열하고 시작하죠.			Default	1_철 AI					
	전력 중계기, 플라즈마 작업대, 물질 분석대, 급속 냉각 장치, 정보 처리기...			Default	1_철 AI					
S	연구실에 있을 법한 설비들이 좀 있는데, 왜 본관에 있는 거지?_0									
T	AI들과 연관이 있는 설비도 조금 존재하는걸로 보아선, 아마도 효율 문제일 겁니다.			Default	1_철 AI					
	지금은 비록 끊겼지만, 통로에 전기선 뿐만 아니라 정보를 전달하는 선이 있던 부분을 생각하면, 연구실에도 비슷하게 배치되어 있을 것 같습니다.			Default	1_철 AI					
T	연구실까지 원소 AI들을 데려가지 않으면서도 도움을 받을 수 있도록?									
	불 원소 AI가 왔다갔다 하면서 뭔가 만드는 걸 도왔던 것이 떠올랐다....									
T	우선 '전력 중계기'는 기본적으로 각 층에 서로 다른 비율로 전기를 공급하는 일을 했습니다.			Default	1_철 AI					
	정보 교환도 이루어졌기에, 고장이 난 이후부터 시설 전체에 큰 영향을 준 것 같더군요.			Default	1_철 AI					
	확실하게 할 수 있는 건, 다른 설비들이 고장이 난 것도 이 중계기가 원인일 겁니다.			Default	1_철 AI					
	플라즈마 작업대'는 강한 고열을 이용하여 여러 장비나 도구를 가공하는데 사용했던 것 같네요.			Default	1_철 AI					
	정확한 정보는 많지 않지만, 사람과 AI모두 사용한 기록이 남아 있군요.			Default	1_철 AI					
	마찬가지로 '급속 냉각 장치'의 경우에도 반도체 등 여러 고급 칩 관리 등에 쓰인 것 같네요.			Default	1_철 AI					
	과거에는 굉장히 많은 에너지가 들고 위험했지만, 이젠 안정적이게 된 동면처럼 말이죠.			Default	1_철 AI					
	물질 분석대'는 다면분석 카메라의 여러 파장을 통해 내부까지 확인할 수 있는 기술력과 최신형 분석 시스템을 통해 물건 혹은 자재를 분석 하는 설비입니다.			Default	1_철 AI					
	아마 엘리멘트만 올려놓지 않는다면...큰 문제 없이 유용하게 사용할 수 있을 거라 생각합니다.			Default	1_철 AI					
	그리고 마지막으로 '정보 처리기'는 다재다능하지만 사용법이 까다롭습니다.			Default	1_철 AI					
	우선 기본적으로는 연구 데이터에서 필요한 정보를 정제하는 것부터 시작해서...			Default	1_철 AI					
	조금 추상적으로 들릴 수도 있지만 인간의 두뇌를 정보화하는 일부터, 저장 장치 내 정보를 복제해 투영하는 일 까지도 이론상으로 가능합니다.			Default	1_철 AI					
T	이런 설비들이 있었다는 건 나도 잘 모르고 있었는데.									
	연구 부분에서 사용되었던 걸까, 유용하게 쓸 수 있으면 좋겠다는 생각을 했다.									
S	엘리멘트와 원소 AI들의 관계를 좀 더 정확하게 설명해 줘.									
T	엘리멘트와 원소의 관계라...			Default	1_철 AI					
	엘리멘트를 이용해 고열을 방출하거나, 순간적으로 열을 흡수하는 에너지의 열역학적인 성질을 사용하거나,			Default	1_철 AI					
	물체의 경도나 강도를 변형시키거나, 진동으로 특정 주파수를 발생시켜 강한 물질을 부수는 동력학적인 성질을 이용할 수 있는 것은 분명합니다.			Default	1_철 AI					
	빛, 열 등으로 생명 활동에 관련된 물질 등에 관여하는 것까지 이론상 가능하긴 하지만...			Default	1_철 AI					
	저희들은 각자의 열역학적인, 동력학적인 성질을 바탕으로 관련 지식의 현실화를 목적으로 만들어졌으니까요.			Default	1_철 AI					
	확실히 AI관련 분야에 대해서는 이해하고 계시지만, 저희들의 존재 의의인 본질은 정확히 알지 못하셨군요.			Default	1_철 AI					
T	그야 에너지 관련 연구원이 아니라 AI개발자니까, 어느 정도 알지 못하는게 당연한 일이었다.									
	이런 일이 있을 줄 알았다면 제대로 알려고 했겠지만...									
T	물론 그럼에도 노력하는 자세는 나쁘지 않습니다.			Default	1_철 AI					
	제가 당신의 상황이었어도 그렇게 행동했을 테니까요.			Default	1_철 AI					
	물론 조금 더 노력하시면 좋겠습니다.\n느릿느릿하게 느긋한 모습으로 행동하시던데.			Default	1_철 AI					
	제대로 해 봐야 능력 부족인지 노력 부족인지 확실히 분석해서 알려드릴 수 있겠죠.			Default	1_철 AI					
Flag	3									
