Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	1_C								철의 층	
T	싸늘하게 식은 분위기는 여전했다.									
	아무도 없는 복도는 옅은 흰 전등의 빛으로 아주 옅게 빛나고 있었고, 달라진 점은 보도의 끝, 문이 열려있다는 점 뿐이었다.									
	열린 문 쪽으로 가까기 다가가자, 준비되어 있던 것처럼 AI가 나타나 팔짱의 끼고 얼굴을 똑바로 쳐다보기 시작했다.									
	약간의 침묵이 이어졌다.									
T	당신을 온전히 신뢰한다는 뜻은 아닙니다.			Default	1_철 AI					
	그저 할 일은 이해하는 인간으로 생각할 뿐이죠.			Default	1_철 AI					
T	그래도 어느 정도 이야기는 나눌 수 있게 된 건가.									
	솔직히 아직 답답한 건 맞았지만 상황이 상황이다보니 좋은 커뮤였다.									
S	시설 권한을 가진 아이디가 중앙 관리자와 AI-1뿐이던데, 혹시 네가 AI-1아이디를 쓰는 거야?_0									
T	그 계정은 제가 만든 게 맞습니다.			Default	1_철 AI					
	접근 가능한 시설 내에서 확인할 수 있는 정보들을 파악하기 위해 관리자 계정으로 들어가 계정을 하나 만들었죠.			Default	1_철 AI					
T	통제 시스템의 권한을 가지고 있었으니 이상한 일은 아니었다.									
	그럼 다시 원점으로 돌아와서, 질문해야 할 때가 왔다.									
S	그러면...왜 시설 전체에 문제가 일어난 거지?_0									
T	아무리 문제가 있었다 하더라도, 대표님과 책임 연구원님 모두 에너지 관련 지식이 많으셨기에 전 구역에 문제가 생긴 상황이 이해가 되지 않았다.									
	실험이 이루어지던 코어도 밀폐되도록 분명 설계되어 있는 걸로 알고 있었다.\n그런데....왜?									
T	폭발이 일어나고 당신이 깨어난 건 6개월 정도 뒤의 일이었죠.			Default	1_철 AI					
	시설 내 폭발로 인해 본관의 여러 설비가 고장날 정도로 후폭풍이 심했다는건, 구역을 분리하는 역할을 하던 개폐 장치 쪽에 문제가 있었던 것이 분명합니다.			Default	1_철 AI					
T	핵심 '코어'와 연구실은 로비와 AI들이 위치한 이 본관에서 어느 정도 떨어진 곳에 위치해 있었다.									
	그 사이를 잇는 복도는 평상시엔 꽤 두꺼운 문으로 밀폐되어 한 쪽에서 문제가 일어나더라도, 다른 구역까지 문제가 발생하지 못하도록 설계되어 있었으니까.									
T	그리고 시설 내 설비들이 비록 그런 부분에 취약하다는 점을 고려하더라도, 아마 동면관 밖에 나와 있던 인간들은 버티지 못했을 겁니다.			Default	1_철 AI					
	보다 정확한 진실은 사건이 일어난 곳을 확인해야 알 수 있겠지만, 현재까지의 정보를 고려하면 두 인간 모두 사망했을 확률이 굉장히 높습니다.			Default	1_철 AI					
T	엘리멘트의 위험성이 0이 아니라는 것은 모두 알고 있었을 텐데, 단순 실수로 이런 참사가 일어났다?									
	의심할 부분은 많았지만 말대로 정보가 아직 없었으니 필요한 정보를 아는 게 더 중요했다.									
S	그러면 너는 이 전체 시스템을 어느 정도 이해하고 있다는 거지?_0									
S	어떤 설비가 중요한 역할은 하는지, 어떤 설비를 먼저 고치는게 좋은지도?_0									
T	그렇게 창조하셨으니, 그 정도의 일은 가뿐히 해결할 수 있습니다.			Default	1_철 AI					
S	그러면 그 일을 네가 좀 도와줄 수 있을까?_0									
T	....도와드리죠. 제 존재 의의는 인간을 돕는 것이니.			Default	1_철 AI					
	하지만 오해하지 마세요, 지금 당신이 모든 일을 해결할 수는 없을 테니 돕는 것입니다.			Default	1_철 AI					
	현재 본관에 위치한 설비들 중에 가장 중요한 설비가 하나 있습니다.			Default	1_철 AI					
	그 설비를 작동시키고 돌아오시면, 그 때부터 본격적으로 돕도록 하겠습니다.			Default	1_철 AI					
	이 문제만큼은 당신이 판단해서 해결하는 편이 좋을 거에요.			Default	1_철 AI					
T	또 퀘스트인가.\n영문 모를 설비들 중 하나를 고쳐와야 이야기를 들어주겠다?									
	힌트라도 달라고 해야 하나 답답함을 느끼던 그 때, 말이 이어졌다.									
T	하지만 그걸 복구하지 않았다고 해도...전처럼 아예 이야기를 하지 않겠다는 말은 아닙니다.			Default	1_철 AI					
	그 설비가 작동해야 본격적으로 도움을 드릴 수 있을 테니까요...			Default	1_철 AI					
Flag	2									
