Action	Detail	BG	Production	Face	Actor	BGM	SE	Affection	Place	Cut
Char	512_C								로비	
T	원소 AI들과의 대화에서 걱정이 많으셨던 것 같은데...			Default	10_디아나					
	아침에 이야기하신 그 부분에 답을 드리기 위해서 말이죠.			Default	10_디아나					
S	내가 아침에 무언가를 말했던가...?_0									
	기억나는 건 AI들의 이름에 관한 이야기정도 였던 것 같던데.									
T	물론 앞에서 이야기했었죠.			Default	10_디아나					
	바깥에서도 저희 프로젝트를 견제하는 이들이 없게 하기 위해서,대표님은 무조건적으로 후임 연구원의 아이디어를 받아들이셨어요.			Default	10_디아나					
T	내가 계획했던 것 보다도 훨씬 매니아적이게 작업된 것도 그래서였지.									
	회사에 처음 왔던 때, 안 그래도 대외에 어떻게 프로젝트가 보이게 될 지에 대한 이야기를 대표에게 많이 전해 들어왔었다.									
	프로젝트 아이디어나 연구원을 슈킹당하는게 일상이었다 했으니.									
	AI개발은 잘하지만 디자인 부분에서는 재능이 없었던지라, 대표는 그 부분에서 사람을 하나 찾았다.									
	이름을 날렸는지는 모르겠지만, 디자인 쪽과 기계 설계 부분에서 재능이 있어 보이던 사람이었다.									
	물론 평범하게 생긴 것과는 정반대로 죽어도 이해가 안 되는 옷만 입던 녀석이었지만.									
T	무슨 생각을 하고 계신 건가요? 후임 연구원에 관한 건가요?			Default	10_디아나					
S	음...뭐 비슷한 생각을 하곤 있었지._0									
T	그나마 동면관에 안전하게 계세요.			Default	10_디아나					
	물론 지금은 그 곳에서 나오게 할 수는 없지만...			Default	10_디아나					
